Instance Type,Instance @ Idle,Instance @ 100%,Total Embodied Emissions,Instance vCPU,Platform Total Number of vCPU
m5ad.8xlarge,67.8,239.3,2010.79,32,96
m5ad.large,4.2,15.0,2010.79,2,96
m5ad.xlarge,8.5,29.9,2010.79,4,96
m5d.12xlarge,105.8,478.9,2010.79,48,96
m5d.16xlarge,141.1,638.5,2010.79,64,96
m5d.24xlarge,211.7,957.8,2010.79,96,96
m5d.2xlarge,17.6,79.8,2010.79,8,96
m5d.4xlarge,35.3,159.6,2010.79,16,96
m5d.8xlarge,70.6,319.3,2010.79,32,96
m5d.large,4.4,20.0,2010.79,2,96
m5d.metal,211.7,957.8,2010.79,96,96
m5d.xlarge,8.8,39.9,2010.79,4,96
m5dn.12xlarge,99.2,392.2,2010.79,48,96
m5dn.16xlarge,132.3,522.9,2010.79,64,96
m5dn.24xlarge,198.4,784.3,2010.79,96,96
m5dn.2xlarge,16.5,65.4,2010.79,8,96
m5dn.4xlarge,33.1,130.7,2010.79,16,96
m5dn.8xlarge,66.1,261.4,2010.79,32,96
m5dn.large,4.1,16.3,2010.79,2,96
m5dn.metal,198.4,784.3,2010.79,96,96
m5dn.xlarge,8.3,32.7,2010.79,4,96
m5n.12xlarge,99.2,392.2,1610.79,48,96
m5n.16xlarge,132.3,522.9,1610.79,64,96
m5n.24xlarge,198.4,784.3,1610.79,96,96
m5n.2xlarge,16.5,65.4,1610.79,8,96
m5n.4xlarge,33.1,130.7,1610.79,16,96
m5n.8xlarge,66.1,261.4,1610.79,32,96
m5n.large,4.1,16.3,1610.79,2,96
m5n.metal,198.4,784.3,1610.79,96,96
m5n.xlarge,8.3,32.7,1610.79,4,96
m5zn.12xlarge,201.0,751.8,1344.29,48,48
m5zn.2xlarge,33.5,125.3,1344.29,8,48
m5zn.3xlarge,50.3,187.9,1344.29,12,48
m5zn.6xlarge,100.5,375.9,1344.29,24,48
m5zn.large,8.4,31.3,1344.29,2,48
m5zn.metal,201.0,751.8,1344.29,48,48
m5zn.xlarge,16.8,62.6,1344.29,4,48
m6g.12xlarge,74.0,252.3,1333.12,48,64
m6g.12xlarge.elasticsearch,74.0,252.3,1333.12,48,64
m6g.16xlarge,98.6,336.4,1333.12,64,64
m6g.2xlarge,12.3,42.0,1333.12,8,64
m6g.2xlarge.elasticsearch,12.3,42.0,1333.12,8,64
m6g.4xlarge,24.7,84.1,1333.12,16,64
m6g.4xlarge.elasticsearch,24.7,84.1,1333.12,16,64
m6g.8xlarge,49.3,168.2,1333.12,32,64
m6g.8xlarge.elasticsearch,49.3,168.2,1333.12,32,64
m6g.large,3.1,10.5,1333.12,2,64
m6g.large.elasticsearch,3.1,10.5,1333.12,2,64
m6g.medium,1.5,5.3,1333.12,1,64
m6g.metal,98.6,336.4,1333.12,64,64
m6g.xlarge,6.2,21.0,1333.12,4,64
m6g.xlarge.elasticsearch,6.2,21.0,1333.12,4,64
m6gd.12xlarge,74.0,252.3,1533.12,48,64
m6gd.16xlarge,98.6,336.4,1533.12,64,64
m6gd.2xlarge,12.3,42.0,1533.12,8,64
m6gd.4xlarge,24.7,84.1,1533.12,16,64
m6gd.8xlarge,49.3,168.2,1533.12,32,64
m6gd.large,3.1,10.5,1533.12,2,64
m6gd.medium,1.5,5.3,1533.12,1,64
m6gd.metal,98.6,336.4,1533.12,64,64
